Page,Clicks,Impressions,CTR,Position
https://www.beautydiaries.gr/omorfoxamos/takaliteraproiontaomorfias/10-enydatikes-kremes-prosopoy-poy-einai-apla-ekpliktikes/,747,8158,9.16%,21.99
https://www.beautydiaries.gr/,683,3166,21.57%,12.21
https://www.beautydiaries.gr/omorfoxamos/takaliteraproiontaomorfias/10-fantastika-meikap-poy-sto-perasma-toys-afinoyn-tin-pio-alavastrini-epidermida/,430,3785,11.36%,10.81
https://www.beautydiaries.gr/omorfoxamos/takaliteraproiontaomorfias/10-kremes-mation-poy-doyleyoyn-grigora-ki-apotelesmatika/,248,8620,2.88%,29.88
https://www.beautydiaries.gr/omorfoxamos/takaliteraproiontaomorfias/10-fantastika-face-mists-gia-na-echeis-na-dialegeis/,135,1134,11.9%,9.73
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/soma/telika-ginontai-thaymata-me-ta-adynatistika-proionta-somatos-neas-technologias/,90,879,10.24%,15.15
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/grooming/i-pomada-einai-to-pio-vintage-andriko-proion-gia-ta-mallia-kai-soy-echo-tin-kalyteri/,68,1172,5.8%,9.7
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/makigiaz/les-beiges-i-pio-fina-syllogi-makigiaz-tis-chanel/,59,617,9.56%,8.73
https://www.beautydiaries.gr/omorfoxamos/takaliteraproiontaomorfias/10-teleia-micellar-waters-gia-na-vreis-to-diko-soy-agapimeno/,59,477,12.37%,16.99
https://www.beautydiaries.gr/apopsi/tade-efi/to-lip-balm-me-chroma-poy-tha-forethei-poly/,51,845,6.04%,8.55
https://www.beautydiaries.gr/oraioi-anthropoi/beauty-expert/grigoris-pyrpylis-o-ellinas-make-up-ambassador-tis-shiseido-vlepei-pera-apo-ta-trends/,49,793,6.18%,13.74
https://www.beautydiaries.gr/beautynews/soma/telika-ginontai-thaymata-me-ta-adynatistika-proionta-somatos-neas-technologias/,49,320,15.31%,9.25
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/soma/h-100-vegan-enydatiki-krema-somatos-echei-to-pio-teleio-aroma-gkreipfroyt/,47,547,8.59%,15.78
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/farmakeio/ti-symvainei-me-to-eye-patch-poy-menei-sta-matia-4-ores-kai-fotizei-toso-to-vlemma/,45,316,14.24%,13.07
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/mallia/giati-na-epilexeis-vafi-fytikis-proeleysis-os-therapeia-lampsis-ton-mallion-soy/,44,597,7.37%,20.63
https://www.beautydiaries.gr/omorfoxamos/takaliteraproiontaomorfias/10-proionta-peripoiisis-prosopoy-gia-kathe-ilikia/,40,883,4.53%,25.31
https://www.beautydiaries.gr/omorfoxamos/beautyreview/to-neo-aroma-paris-riviera-toy-oikoy-chanel-einai-exairetika-lampero-kai-moschovolaei-freskada/,38,332,11.45%,9.62
https://www.beautydiaries.gr/omorfoxamos/takaliteraproiontaomorfias/10-soyper-apotelesmatika-proionta-somatos-gia-pio-sfrigilo-soma/,36,943,3.82%,10.09
https://www.beautydiaries.gr/omorfoxamos/oikonomikaproiontaomorfias/giati-ayto-to-panaki-ntemakigiaz-einai-must/,36,223,16.14%,5.08
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/aroma/ta-pio-dynamika-aromata-tis-epochis-freskaroyn-ta-mporo-soy/,34,526,6.46%,22.83
https://www.beautydiaries.gr/apopsi/tade-efi/clinique-id-i-mple-kapsoyla-poy-meionei-toys-poroys-kai-veltionei-tin-yfi-tis-epidermidas-apla-xepoylaei/,34,274,12.41%,17.02
https://www.beautydiaries.gr/apopsi/tade-efi/tha-prepei-na-chrisimopoieis-antiliaki-krema-prin-i-meta-tin-enydatiki-soy/,31,803,3.86%,22.88
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/peripoiisiprosopou/to-proto-systima-anamixis-exatomikeymenis-enydatosis-clinique-id-einai-synarpastiko/,30,306,9.8%,12.08
https://www.beautydiaries.gr/omorfoxamos/takaliteraproiontaomorfias/10-blur-proionta-poy-kontraroyn-ta-filtra-toy-instagram-gia-gymno-ki-apsogo-derma/,29,313,9.27%,29.77
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/grooming/to-neo-andriko-aroma-toy-tom-ford-xechorizei-gia-tin-epivlitiki-levanta-kai-tha-kanei-thraysi/,28,367,7.63%,26.47
https://www.beautydiaries.gr/oraioi-anthropoi/friend-request/ena-poly-drastirio-koritsi-piso-apo-ton-pagko-toy-oraioteroy-nail-salon-sti-glyfada/,27,604,4.47%,15.89
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/peripoiisiprosopou/giati-ena-kalo-lip-balm-einai-toso-sotirio/,26,377,6.9%,14.86
https://www.beautydiaries.gr/diagonismos/kerdise-mia-yperochi-psathini-tsanta-me-4-yperocha-antiliaka-caudalie/,25,1269,1.97%,16.11
https://www.beautydiaries.gr/omorfoxamos/takaliteraproiontaomorfias/10-antiliaka-proionta-somatos-poy-prosferoyn-vathia-enydatosi-kai-soyper-mayrisma/,25,821,3.05%,31.32
https://www.beautydiaries.gr/omorfoxamos/oikonomikaproiontaomorfias/pare-meros-ston-kalokairino-diagonismo-tis-frezyderm-kai-kerdise-ta-antiliaka-soy/,25,525,4.76%,27.43
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/peripoiisiprosopou/vitamini-c-kai-retinoli-poia-na-dialexeis-gia-tin-epidermida-soy-kai-giati/,23,270,8.52%,20.62
https://www.beautydiaries.gr/apopsi/tade-efi/3-fantastika-xira-ladia-kai-5-monadikoi-tropoi-chrisis/,23,239,9.62%,21.49
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/peripoiisiprosopou/giati-echeis-mayroys-kykloys-eno-koimasai-oso-chreiazetai/,21,696,3.02%,52.93
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/aroma/4-kalokairina-aromata-poy-ta-foras-kai-niotheis-oti-eisai-se-nisi/,21,503,4.17%,19.1
https://www.beautydiaries.gr/blog/o-aygoystos-tha-einai-panta-akatamachitos/,21,418,5.02%,8.98
https://www.beautydiaries.gr/omorfoxamos/takaliteraproiontaomorfias/10-apolepistika-somatos-poy-prosferoyn-tin-pio-veloydini-epidermida/,21,319,6.58%,13.28
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/makigiaz/nude-kragion-ta-oraiotera-gia-ta-pio-sexi-gymna-cheili/,21,197,10.66%,10.82
https://www.beautydiaries.gr/author/efi-anesti/,20,1139,1.76%,2.72
https://www.beautydiaries.gr/omorfoxamos/takaliteraproiontaomorfias/10-yperoches-maskes-prosopoy-poy-prepei-na-dokimaseis-oposdipote-kapoia-stigmi/,20,651,3.07%,47.47
https://www.beautydiaries.gr/apopsi/omorfia/omorfi-eisai-kai-fainesai/,20,633,3.16%,8.57
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/farmakeio/rodochroys-nosos-ti-einai-kai-pos-antimetopizetai/,19,1071,1.77%,40.88
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/peripoiisiprosopou/giati-i-aromatotherapeia-echei-simantiko-rolo-sti-rythmisi-tis-melaninis/,18,346,5.2%,9.08
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/soma/mporei-ena-afroloytro-na-antikatastisei-to-aroma-soy/,16,151,10.6%,15.79
https://www.beautydiaries.gr/tag/eshop/,15,598,2.51%,1.07
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/makigiaz/ayti-i-paleta-skion-echeis-oles-tis-apochroseis-poy-kolakeyoyn-kathe-tono-epidermidas/,15,339,4.42%,21.9
https://www.beautydiaries.gr/nyxia/mathe-ton-logo-poy-to-gel-manikioyr-katastrefei-ta-nychia-soy/,14,617,2.27%,38
https://www.beautydiaries.gr/apopsi/tade-efi/giati-ayto-to-voytyro-karite-tis-the-body-shop-einai-toso-thaymatoyrgo/,14,436,3.21%,21.69
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/peripoiisiprosopou/xekoyrastos-vlemma-3-droseres-kremes-mation-poy-svinoyn-ta-simadia-koyrasis/,14,391,3.58%,36.08
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/peripoiisiprosopou/giati-na-frontiseis-tin-elastini-tis-epidermidas-soy/,14,309,4.53%,23.19
https://www.beautydiaries.gr/omorfoxamos/beautyreview/xereis-oti-i-argilos-kanei-mikra-thaymata-stin-epidermida-prosthese-mia-tetoia-maska-stin-peripoiisi-soy/,14,228,6.14%,26.62
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/aroma/ti-apokalyptei-i-diafimistiki-kampania-toy-neoy-aromatos-gabrielle-chanel-essence/,14,132,10.61%,9.41
https://www.beautydiaries.gr/oraioi-anthropoi/beauty-expert/maria-simnianaki-i-international-makeup-artist-tis-sephora-gnorizei-mystika-omorfias-alla-kai-ta-trends-gia-to-2022/,13,1016,1.28%,20.38
https://www.beautydiaries.gr/nyxia/h-kalei-koyoko-foraei-idi-ti-megalyteri-tasi-sta-nychia-gia-to-fthinoporo/,13,409,3.18%,14.9
https://www.beautydiaries.gr/xoros/ayto-einai-to-farmakeio-toy-mellontos/,12,356,3.37%,21.8
https://www.beautydiaries.gr/oraioi-anthropoi/beauty-icon/3-spoydaies-gynaikes-piso-apo-tis-pio-synarpastikes-istories-omorfias/,12,291,4.12%,16.52
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/mallia/oi-anagkes-olon-ton-typon-mallion-ekplironontai-me-ligo-ladi-sogias-kai-karyda/,12,190,6.32%,11.55
https://www.beautydiaries.gr/omorfoxamos/oikonomikaproiontaomorfias/dy-syntages-me-to-polychristiko-shea-butter/,12,124,9.68%,17.28
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/peripoiisiprosopou/giati-to-neo-advanced-night-repair-intense-reset-concentrate-tis-estee-lauder-einai-gia-sena/,12,101,11.88%,9.95
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/makigiaz/dialexe-royz-kai-mazi-to-pio-glyko-kalokairino-loyk/,11,651,1.69%,18.69
